"LOINC"	"MAP_TO"	"COMMENT"
"16010-1"	"15812-1"	
"16055-6"	"16056-4"	
"16079-6"	"16078-8"	
"16081-2"	"16080-4"	
"16087-9"	"16086-1"	
"16097-8"	"16096-0"	
"16143-0"	"9497-9"	
"1616-2"	"1615-4"	
"16286-7"	"15432-8"	
"16287-5"	"31667-9"	
"16287-5"	"31668-7"	
"16288-3"	"31500-2"	
"16288-3"	"31501-0"	
"16289-1"	"31496-3"	
"16289-1"	"31497-1"	
"16321-2"	"1717-8"	
"16336-0"	"1780-6"	
"16354-3"	"12471-9"	
"16356-8"	"13364-5"	
"16357-6"	"13365-2"	
"16358-4"	"13382-7"	
"16359-2"	"3331-6"	
"16386-5"	"16100-0"	
"16424-4"	"12390-1"	
"16435-0"	"6279-4"	
"16436-8"	"7140-7"	
"16540-7"	"8171-1"	
"16573-8"	"2059-4"	
"16574-6"	"2060-2"	
"16602-5"	"16601-7"	
"16629-8"	"12185-5"	
"1669-1"	"1668-3"	
"1672-5"	"1671-7"	
"16731-2"	"2196-4"	
"16743-7"	"13572-3"	
"16744-5"	"3861-2"	
"16745-2"	"10546-0"	
"16752-8"	"27132-0"	
"16767-6"	"9806-1"	
"16782-5"	"12277-0"	
"16790-8"	"3582-4"	
"16869-0"	"12428-9"	
"16883-1"	"2319-2"	
"16884-9"	"2317-6"	
"16885-6"	"2318-4"	
"16886-4"	"13615-0"	
"17023-3"	"4656-5"	
"17077-9"	"16965-6"	
"17081-1"	"3048-6"	
"17145-4"	"13336-3"	
"17223-9"	"8111-7"	
"17245-2"	"13904-8"	
"17268-4"	"10543-7"	
"17271-8"	"13938-6"	
"17291-6"	"6281-0"	
"17297-3"	"5027-8"	
"17298-1"	"5027-8"	
"17345-0"	"5171-4"	
"17361-7"	"9475-5"	
"17423-5"	"7981-4"	
"17466-4"	"5975-8"	
"17594-3"	"14147-3"	
"17595-0"	"14146-5"	
"17612-3"	"13139-1"	
"17613-1"	"13140-9"	
"17615-6"	"13153-2"	
"17616-4"	"13154-0"	
"17620-6"	"13157-3"	
"17621-4"	"13158-1"	
"17623-0"	"13160-7"	
"17624-8"	"13161-5"	
"17625-5"	"13162-3"	
"17626-3"	"13141-7"	
"17628-9"	"13142-5"	
"17633-9"	"13143-3"	
"17634-7"	"13144-1"	
"17636-2"	"13145-8"	
"17637-0"	"13146-6"	
"17677-6"	"6258-8"	
"17677-6"	"7726-3"	
"17694-1"	"2135-2"	
"17831-9"	"253-5"	
"17832-7"	"252-7"	
"17848-3"	"31112-6"	
"1789-7"	"1788-9"	
"17950-7"	"610-6"	
"17969-7"	"630-4"	
"18264-2"	"1968-7"	
"18279-0"	"4631-8"	
"18346-7"	"17635-4"	
"18375-6"	"17003-5"	
"1841-6"	"16362-6"	
"18433-3"	"18240-2"	
"18628-8"	"18640-3"	
"18741-9"	"18733-6"	
"18762-5"	"28580-9"	"Deprecated per Clinical LOINC Committee approval"
"18764-1"	"28575-9"	"per Clinical LOINC Committee approval"
"18765-8"	"11509-7"	
"18766-6"	"11510-5"	
"25049-8"	"25040-7"	
"2505-6"	"2502-3"	
"25306-2"	"7076-3"	
"25307-0"	"21065-8"	
"25329-4"	"15964-0"	
"25347-6"	"13244-9"	
"25356-7"	"15904-6"	
"25380-7"	"15746-1"	
"25497-9"	"16035-8"	
"25504-2"	"15942-6"	
"25558-8"	"14955-9"	
"25567-9"	"15906-1"	
"2558-5"	"29284-7"	
"2558-5"	"29293-8"	
"25594-3"	"13277-9"	
"25617-2"	"24391-5"	
"25620-6"	"24390-7"	
"25629-7"	"24389-9"	
"2565-0"	"2093-3"	
"2566-8"	"1769-9"	
"25713-9"	"21273-8"	
"25724-6"	"6897-3"	
"25814-5"	"19729-3"	
"25935-8"	"13996-4"	
"26025-7"	"15709-9"	
"26034-9"	"2888-6"	
"26103-2"	"26169-3"	
"26104-0"	"26170-1"	
"26105-7"	"26171-9"	
"26119-8"	"24701-5"	
"26121-4"	"24701-5"	
"26123-0"	"24701-5"	
"26145-3"	"24890-6"	
"26147-9"	"24890-6"	
"26149-5"	"24890-6"	
"26274-1"	"26235-2"	
"26275-8"	"26236-0"	
"26276-6"	"26237-8"	
"26461-4"	"58413-6"	
"26579-3"	"25086-0"	
"26641-1"	"22346-1"	
"26693-2"	"24021-8"	
"2674-0"	"2678-1"	
"2675-7"	"2679-9"	
"26883-9"	"26700-5"	
"26917-5"	"26681-7"	
"26922-5"	"13336-3"	
"26939-9"	"26692-4"	
"26941-5"	"26701-3"	
"27073-6"	"10976-9"	
"27139-5"	"25296-5"	
"27215-3"	"14251-3"	
"27258-3"	"2885-2"	
"27274-0"	"27004-1"	
"27319-3"	"32211-5"	
"27376-3"	"1986-9"	
"27388-8"	"27118-9"	
"27393-8"	"27389-6"	
"27397-9"	"27374-8"	
"27398-7"	"27392-0"	
"27405-0"	"27395-3"	
"27406-8"	"27390-4"	
"27472-0"	"27558-6"	
"27475-3"	"27488-6"	
"27485-2"	"27534-7"	
"27599-0"	"27609-7"	
"27662-6"	"27672-5"	
"27701-2"	"27711-1"	
"27752-5"	"27762-4"	
"2781-3"	"2778-9"	
"2782-1"	"2779-7"	
"27825-9"	"24374-1"	
"27940-6"	"27834-1"	
"27983-6"	"12891-8"	
"28000-8"	"6012-9"	
"2800-1"	"2353-1"	
"2801-9"	"2568-4"	
"28032-1"	"11522-0"	
"2803-5"	"2804-3"	
"28065-1"	"28044-6"	
"282-4"	"278-2"	
"283-2"	"279-0"	
"284-0"	"280-8"	
"285-7"	"281-6"	
"28611-2"	"28591-6"	
"2928-0"	"1938-0"	
"29297-9"	"33512-5"	
"29333-2"	"22572-2"	
"29513-9"	"16708-0"	
"29517-0"	"14948-4"	
"2968-6"	"2967-8"	
"29894-3"	"21458-5"	
"29895-0"	"2779-7"	
"2993-4"	"2986-8"	
"2994-2"	"2991-8"	
"3022-1"	"32215-6"	
"30240-6"	"48065-7"	
"30240-6"	"48066-5"	
"30329-7"	"13662-2"	
"30330-5"	"13661-4"	
"30367-7"	"30445-1"	
"30393-3"	"19048-8"	
"30463-4"	"26524-9"	
"3049-4"	"2571-8"	
"30545-8"	"24375-8"	
"3061-9"	"26960-5"	
"3071-8"	"3070-0"	
"30718-1"	"37866-1"	
"30728-0"	"24945-8"	
"30732-2"	"24651-2"	
"30798-3"	"24790-8"	
"30835-3"	"25079-5"	
"30879-1"	"30699-3"	
"30886-6"	"24549-8"	
"30893-2"	"24534-0"	
"30988-0"	"6175-4"	
"31031-8"	"6713-2"	
"31121-7"	"17221-3"	
"31180-3"	"18348-3"	
"31241-3"	"7920-2"	
"31349-4"	"5134-2"	
"31402-1"	"31346-0"	
"31403-9"	"31347-8"	
"31429-4"	"7916-0"	
"31432-8"	"13164-9"	
"31433-6"	"16808-8"	
"31434-4"	"16809-6"	
"31447-6"	"11565-9"	
"3155-9"	"3154-2"	
"31591-1"	"13636-6"	
"31651-3"	"13168-0"	
"31675-2"	"17578-6"	
"31677-8"	"17580-2"	
"31679-4"	"17579-4"	
"31684-4"	"9741-0"	
"31752-9"	"31740-4"	
"32282-6"	"17662-8"	
"32357-6"	"10704-5"	
"32380-8"	"18916-7"	
"32382-4"	"25608-1"	
"3247-4"	"29280-5"	
"32565-4"	"21764-6"	
"3258-1"	"3256-5"	
"32607-4"	"4174-9"	
"32711-4"	"32623-1"	
"32753-6"	"40623-1"	
"32754-4"	"40624-9"	
"32767-6"	"32666-0"	
"32780-9"	"31856-8"	
"3320-9"	"35669-1"	
"33272-6"	"12207-7"	
"33284-1"	"32376-6"	
"33298-1"	"7028-4"	
"33319-5"	"27354-0"	
